Ref_Interna,Marca,Modelo,Material,Color,Herrajes,Año_Fabricacion,Estado_General,Disponibilidad,Has_Box,Has_Papers,Has_Dustbag,Has_Receipt,Sourcing_Type,Precio_Retail_USD,Coste_Compra_EUR,Precio_Venta_EUR,Margen_Bruto_EUR,Margen_Pct,Descripcion_Corta
HP-10262,Dior,Saddle Bag,Oblique Jacquard,Gold,Paladio (PHW),2024,N - Nuevo,En Sourcing,False,True,True,False,Consignment,4200,4149,5266,1117,21.2,El retorno del icono de los 2000.
HP-85220,Louis Vuitton,Neverfull MM,Monogram,Verde,Champagne,2021,B - Buen estado,Bajo Pedido (15 días),True,True,True,True,Owned,1950,996,1541,545,35.3,El tote más vendido de la historia.
HP-49002,Bottega Veneta,Jodie Mini,Intrecciato,Beige Trench,Oro Viejo,2024,B - Buen estado,Reservado,True,False,True,True,Owned,2650,1292,1889,597,31.6,El nudo viral.
HP-79533,Fendi,Fendi First Small,Nappa,Negro,Oro Viejo,2022,A - Excelente,En Stock (24h),False,False,True,False,Owned,3400,2181,3525,1344,38.1,La F arquitectónica.
HP-69411,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Craie,Rutenio,2020,A - Excelente,En Stock (24h),False,True,True,False,Owned,1800,1125,1700,575,33.8,Icono urbano indestructible.
HP-12882,Hermès,Birkin 30,Epsom,Etoupe,Paladio (PHW),2018,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Owned,11200,7816,10633,2817,26.5,"Tamaño clásico, estructura rígida."
HP-59108,Celine,Triomphe Classique,Shiny Calf,Gold,Oro Viejo,2023,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,3950,2938,4039,1101,27.3,El nuevo clásico parisino.
HP-48511,Chanel,Boy Bag Old Medium,Calfskin,Azul Marino,Oro Viejo,2022,A - Excelente,Reservado,True,True,True,False,Owned,6700,4519,6500,1981,30.5,Estilo rock-chic con bordes gráficos.
HP-82269,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Beige Trench,Rutenio,2023,AB - Muy bueno,En Stock (24h),True,False,True,False,Consignment,1800,1188,1458,270,18.5,Icono urbano indestructible.
HP-99120,Hermès,Picotin Lock 18,Clemence,Beige Trench,Champagne,2022,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Consignment,3400,2597,3120,523,16.8,El bucket bag de lujo por excelencia.
HP-11155,Fendi,Peekaboo ISeeU Small,Selleria,Beige Trench,Oro (GHW),2025,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,5400,3626,4581,955,20.8,Artesanía romana.
HP-40869,Celine,Triomphe Classique,Shiny Calf,Gold,Paladio (PHW),2025,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,3950,1981,3362,1381,41.1,El nuevo clásico parisino.
HP-16779,Dior,Lady Dior Mini,Satin/Strass,Gris Asfalto,Oro Viejo,2022,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Consignment,5300,3980,4953,973,19.6,Joya de noche.
HP-95531,Hermès,Constance 18,Evercolor,Beige Trench,Oro (GHW),2021,N - Nuevo,En Stock (24h),False,True,True,False,Owned,8900,6292,10930,4638,42.4,La H icónica. Perfecto para crossbody.
HP-33342,Dior,Lady Dior Mini,Satin/Strass,Craie,Rutenio,2018,N - Nuevo,En Stock (24h),False,False,True,False,Owned,5300,4283,6686,2403,35.9,Joya de noche.
HP-10254,Chanel,Wallet on Chain (WOC),Caviar,Rouge H,Rutenio,2019,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Owned,3500,2517,3441,924,26.8,El esencial de entrada a la marca.
HP-36162,Chanel,Classic Flap Medium,Caviar,Craie,Paladio (PHW),2023,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,10300,7108,10476,3368,32.1,El rey de la reventa. Piel resistente.
HP-53952,Chanel,Classic Flap Jumbo,Caviar,Verde,Champagne,2021,N - Nuevo,Bajo Pedido (15 días),False,False,True,False,Owned,11000,8680,12771,4091,32.0,Para quien necesita más espacio.
HP-65235,Chanel,Classic Flap Small,Lambskin,Etoupe,Oro Viejo,2019,AB - Muy bueno,Reservado,True,True,True,True,Consignment,9600,8049,10072,2023,20.1,"Suavidad extrema, cuidado delicado."
HP-38244,Louis Vuitton,Capucines BB,Taurillon,Verde,Paladio (PHW),2022,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,False,Owned,6100,3142,5431,2289,42.1,La apuesta de LV por el ultra-lujo.
HP-46696,Chanel,Chanel 19 Large,Goatskin,Etoupe,Champagne,2018,A - Excelente,En Stock (24h),True,False,True,False,Owned,7100,5050,7073,2023,28.6,Modernidad con acolchado maxi.
HP-29940,Louis Vuitton,Alma BB,Epi Leather,Etoupe,Oro Viejo,2018,A - Excelente,En Stock (24h),True,False,True,False,Owned,1980,1330,1853,523,28.2,Estructura Art Deco atemporal.
HP-30359,Celine,Ava Bag,Triomphe Canvas,Azul Marino,Paladio (PHW),2018,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,1700,1166,1744,578,33.1,La silueta de media luna.
HP-92953,Fendi,Fendi First Small,Nappa,Beige Trench,Rutenio,2024,A - Excelente,En Stock (24h),True,False,True,True,Consignment,3400,2623,3285,662,20.1,La F arquitectónica.
HP-93996,Loewe,Hammock Compact,Soft Grain,Rouge H,Oro Viejo,2018,N - Nuevo,Reservado,False,False,True,True,Consignment,2950,3085,3774,689,18.3,Versatilidad total.
HP-21328,Chanel,Classic Flap Medium,Caviar,Azul Marino,Champagne,2024,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,False,Consignment,10300,7537,9309,1772,19.0,El rey de la reventa. Piel resistente.
HP-56881,Hermès,Picotin Lock 18,Clemence,Craie,Champagne,2024,AB - Muy bueno,En Sourcing,True,True,True,False,Consignment,3400,2607,3073,466,15.1,El bucket bag de lujo por excelencia.
HP-20893,Prada,Galleria Saffiano Small,Saffiano,Rouge H,Oro Viejo,2023,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,3600,2129,3374,1245,36.9,El maletín ejecutivo.
HP-65523,Louis Vuitton,Onthego GM,Giant Monogram,Azul Marino,Rutenio,2019,A - Excelente,En Stock (24h),False,True,True,False,Owned,3100,1849,2803,954,34.0,Maxi logo para impacto visual.
HP-63621,Loewe,Puzzle Small,Classic Calf,Craie,Paladio (PHW),2022,AB - Muy bueno,En Stock (24h),False,False,True,True,Owned,3100,1676,2558,882,34.5,Obra maestra geométrica.
HP-82642,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Rouge H,Paladio (PHW),2020,N - Nuevo,Bajo Pedido (15 días),False,False,True,False,Owned,1800,1365,2119,754,35.5,Icono urbano indestructible.
HP-91204,Celine,Luggage Nano,Drummed Calf,Rouge H,Champagne,2023,A - Excelente,En Stock (24h),True,False,True,True,Consignment,2600,2132,2524,392,15.5,El rostro inconfundible.
HP-99065,Hermès,Kelly 25 Retourne,Swift,Gold,Oro (GHW),2022,A - Excelente,En Stock (24h),False,True,True,False,Consignment,11800,8747,10750,2003,18.6,Acabado suave y relajado.
HP-45437,Gucci,Dionysus Small,GG Supreme,Negro,Oro (GHW),2021,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Owned,2980,1798,2933,1135,38.7,Cierre de cabeza de tigre mitológico.
HP-13098,Fendi,Peekaboo ISeeU Small,Selleria,Verde,Rutenio,2020,A - Excelente,Reservado,True,False,True,False,Owned,5400,3713,5083,1370,26.9,Artesanía romana.
HP-69866,Dior,Book Tote Medium,Toile de Jouy,Negro,Paladio (PHW),2023,B - Buen estado,Reservado,False,True,True,True,Consignment,3300,1905,2328,423,18.2,El bolso de viaje de la élite.
HP-11386,Hermès,Evelyne III PM,Clemence,Azul Marino,Oro Viejo,2024,A - Excelente,En Stock (24h),False,True,True,True,Owned,3800,2493,3554,1061,29.8,Casual y funcional con la H perforada.
HP-24298,Hermès,Constance 18,Evercolor,Azul Marino,Oro Viejo,2020,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,8900,5015,8310,3295,39.6,La H icónica. Perfecto para crossbody.
HP-20509,Louis Vuitton,Onthego GM,Giant Monogram,Azul Marino,Rutenio,2020,N - Nuevo,En Stock (24h),False,False,True,True,Owned,3100,2497,3724,1227,32.9,Maxi logo para impacto visual.
HP-34271,Louis Vuitton,Multi Pochette Accessoires,Monogram,Negro,Champagne,2018,N - Nuevo,Bajo Pedido (15 días),True,False,True,False,Owned,2600,2207,3094,887,28.6,El favorito del Street Style.
HP-64843,Dior,Lady Dior ABC (Small),Lambskin,Gris Asfalto,Rutenio,2024,A - Excelente,Reservado,False,True,True,False,Consignment,5900,4484,5619,1135,20.2,El bolso de la Princesa Diana.
HP-51919,Hermès,Picotin Lock 18,Clemence,Rouge H,Oro (GHW),2024,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Owned,3400,3030,4274,1244,29.1,El bucket bag de lujo por excelencia.
HP-19458,Louis Vuitton,Neverfull MM,Monogram,Negro,Oro Viejo,2020,A - Excelente,En Stock (24h),False,True,True,False,Owned,1950,1227,2009,782,38.9,El tote más vendido de la historia.
HP-57309,Louis Vuitton,Multi Pochette Accessoires,Monogram,Rouge H,Champagne,2023,N - Nuevo,Reservado,False,True,True,True,Owned,2600,1716,3069,1353,44.1,El favorito del Street Style.
HP-76541,Chanel,Wallet on Chain (WOC),Caviar,Negro,Paladio (PHW),2018,AB - Muy bueno,En Sourcing,False,True,True,True,Consignment,3500,2364,2930,566,19.3,El esencial de entrada a la marca.
HP-47674,Prada,Re-Edition 2005,Re-Nylon,Negro,Rutenio,2022,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Consignment,1980,1595,2023,428,21.1,El icono del Y2K.
HP-47106,Celine,Belt Bag Nano,Grained Calf,Craie,Rutenio,2022,N - Nuevo,En Stock (24h),False,True,True,False,Consignment,2300,2451,2931,480,16.4,Funcionalidad y discreción.
HP-91276,Bottega Veneta,Jodie Mini,Intrecciato,Etoupe,Rutenio,2021,A - Excelente,En Stock (24h),True,True,True,True,Owned,2650,1759,2767,1008,36.4,El nudo viral.
HP-67034,Chanel,Chanel 19 Large,Goatskin,Verde,Oro Viejo,2019,N - Nuevo,En Stock (24h),True,False,True,False,Owned,7100,4916,8939,4023,45.0,Modernidad con acolchado maxi.
HP-57353,Chanel,Chanel 19 Large,Goatskin,Etoupe,Paladio (PHW),2025,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Owned,7100,4408,6767,2359,34.9,Modernidad con acolchado maxi.
HP-63550,Dior,Book Tote Medium,Toile de Jouy,Beige Trench,Champagne,2025,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,3300,2022,2807,785,27.9,El bolso de viaje de la élite.
HP-14962,Bottega Veneta,The Pouch,Butter Calf,Craie,Champagne,2023,A - Excelente,En Stock (24h),True,True,True,False,Consignment,3200,2641,3156,515,16.3,El clutch que inició la era.
HP-43870,Louis Vuitton,Alma BB,Epi Leather,Azul Marino,Champagne,2020,N - Nuevo,En Stock (24h),False,False,True,True,Owned,1980,1331,2413,1082,44.8,Estructura Art Deco atemporal.
HP-25326,Dior,30 Montaigne,Box Calf,Beige Trench,Champagne,2021,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Owned,3900,3182,4549,1367,30.0,Elegancia minimalista con cierre CD.
HP-20322,Gucci,Marmont Matelassé Small,Leather,Beige Trench,Oro Viejo,2020,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Owned,2550,1868,2611,743,28.4,El superventas de la década.
HP-31967,Chanel,Classic Flap Medium,Caviar,Rouge H,Oro (GHW),2023,N - Nuevo,En Stock (24h),False,True,True,True,Owned,10300,6928,12167,5239,43.1,El rey de la reventa. Piel resistente.
HP-66587,Dior,Lady Dior Mini,Satin/Strass,Verde,Rutenio,2020,B - Buen estado,En Stock (24h),True,True,True,True,Consignment,5300,3584,4567,983,21.5,Joya de noche.
HP-57527,Louis Vuitton,Multi Pochette Accessoires,Monogram,Beige Trench,Rutenio,2024,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,False,Owned,2600,1271,2131,860,40.3,El favorito del Street Style.
HP-71589,Gucci,Marmont Matelassé Small,Leather,Rouge H,Champagne,2025,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,2550,1442,2093,651,31.1,El superventas de la década.
HP-36042,Bottega Veneta,The Pouch,Butter Calf,Negro,Oro (GHW),2019,B - Buen estado,En Stock (24h),False,False,True,False,Owned,3200,1501,2279,778,34.1,El clutch que inició la era.
HP-69012,Louis Vuitton,Pochette Métis,Monogram Reverse,Negro,Oro (GHW),2020,N - Nuevo,Bajo Pedido (15 días),False,False,True,True,Consignment,2700,2542,3146,604,19.2,El satchel perfecto para diario.
HP-82584,Prada,Galleria Saffiano Small,Saffiano,Azul Marino,Oro Viejo,2025,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Owned,3600,2292,3400,1108,32.6,El maletín ejecutivo.
HP-18772,Prada,Galleria Saffiano Small,Saffiano,Azul Marino,Paladio (PHW),2022,AB - Muy bueno,Reservado,False,True,True,False,Owned,3600,1873,3110,1237,39.8,El maletín ejecutivo.
HP-43363,Prada,Cleo Brushed,Spazzolato,Craie,Rutenio,2018,AB - Muy bueno,En Stock (24h),True,False,True,True,Consignment,2900,2014,2462,448,18.2,Futurismo retro.
HP-41218,Chanel,2.55 Reissue 226,Aged Calfskin,Gris Asfalto,Champagne,2025,B - Buen estado,En Stock (24h),False,False,True,True,Owned,10300,5155,7401,2246,30.3,El original de Coco Chanel.
HP-17662,Louis Vuitton,Pochette Métis,Monogram Reverse,Negro,Paladio (PHW),2025,B - Buen estado,Reservado,True,True,True,False,Owned,2700,1316,1860,544,29.2,El satchel perfecto para diario.
HP-76550,Celine,Belt Bag Nano,Grained Calf,Beige Trench,Oro Viejo,2024,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,True,Consignment,2300,1711,2031,320,15.8,Funcionalidad y discreción.
HP-77694,Chanel,Classic Flap Jumbo,Caviar,Verde,Champagne,2020,A - Excelente,En Stock (24h),True,True,True,False,Owned,11000,8144,11187,3043,27.2,Para quien necesita más espacio.
HP-25560,Celine,Belt Bag Nano,Grained Calf,Beige Trench,Oro Viejo,2022,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,2300,1264,2089,825,39.5,Funcionalidad y discreción.
HP-72538,Bottega Veneta,Jodie Mini,Intrecciato,Verde,Rutenio,2018,A - Excelente,En Stock (24h),False,True,True,False,Owned,2650,1603,2690,1087,40.4,El nudo viral.
HP-70982,Louis Vuitton,Alma BB,Epi Leather,Gris Asfalto,Champagne,2025,A - Excelente,En Stock (24h),True,False,True,False,Owned,1980,1423,1962,539,27.4,Estructura Art Deco atemporal.
HP-79740,Celine,Belt Bag Nano,Grained Calf,Etoupe,Champagne,2022,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,2300,1327,1992,665,33.4,Funcionalidad y discreción.
HP-81220,Hermès,Birkin 25,Togo,Gris Asfalto,Oro (GHW),2025,A - Excelente,Bajo Pedido (15 días),False,True,True,True,Consignment,10400,8578,10841,2263,20.9,El bolso más deseado del mundo.
HP-42412,Fendi,Peekaboo ISeeU Small,Selleria,Azul Marino,Rutenio,2025,N - Nuevo,En Stock (24h),True,True,True,False,Owned,5400,3869,6696,2827,42.2,Artesanía romana.
HP-81327,Louis Vuitton,Neverfull MM,Monogram,Etoupe,Paladio (PHW),2020,A - Excelente,Reservado,False,True,True,False,Owned,1950,1126,1839,713,38.7,El tote más vendido de la historia.
HP-70800,Hermès,Kelly 28 Sellier,Box Calf,Verde,Paladio (PHW),2019,A - Excelente,En Stock (24h),False,False,True,True,Owned,12500,7567,12702,5135,40.4,Elegancia estructurada con costuras visibles.
HP-84355,Fendi,Baguette 1997,Zucca Canvas,Gris Asfalto,Champagne,2018,A - Excelente,En Stock (24h),False,False,True,False,Owned,3200,2099,3111,1012,32.5,"It's not a bag, it's a Baguette."
HP-56834,Gucci,Diana Bamboo Small,Leather,Verde,Rutenio,2023,AB - Muy bueno,En Stock (24h),False,True,True,True,Consignment,3600,2699,3221,522,16.2,Asas de bambú neón.
HP-74997,Hermès,Evelyne III PM,Clemence,Craie,Oro Viejo,2025,N - Nuevo,En Stock (24h),True,True,True,False,Owned,3800,2818,4350,1532,35.2,Casual y funcional con la H perforada.
HP-27328,Bottega Veneta,Jodie Mini,Intrecciato,Rouge H,Champagne,2018,B - Buen estado,En Stock (24h),True,True,True,False,Consignment,2650,1658,2005,347,17.3,El nudo viral.
HP-53249,Loewe,Puzzle Mini,Satin Calf,Craie,Paladio (PHW),2019,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,2400,1444,2399,955,39.8,El favorito de las influencers.
HP-68794,Dior,Lady Dior ABC (Small),Lambskin,Craie,Paladio (PHW),2025,N - Nuevo,En Sourcing,True,False,True,True,Owned,5900,4401,7096,2695,38.0,El bolso de la Princesa Diana.
HP-49566,Loewe,Flamenco Clutch,Nappa Calf,Etoupe,Champagne,2023,A - Excelente,En Stock (24h),False,False,True,False,Consignment,2450,1881,2223,342,15.4,Suavidad y nudos característicos.
HP-18740,Dior,Lady Dior ABC (Small),Lambskin,Rouge H,Rutenio,2023,A - Excelente,En Stock (24h),False,True,True,False,Consignment,5900,4723,6022,1299,21.6,El bolso de la Princesa Diana.
HP-20726,Dior,Lady Dior ABC (Small),Lambskin,Azul Marino,Oro (GHW),2025,B - Buen estado,Bajo Pedido (15 días),False,True,True,False,Owned,5900,2437,4295,1858,43.2,El bolso de la Princesa Diana.
HP-93412,Loewe,Flamenco Clutch,Nappa Calf,Negro,Rutenio,2019,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Owned,2450,1437,2436,999,41.0,Suavidad y nudos característicos.
HP-56712,Bottega Veneta,Jodie Mini,Intrecciato,Verde,Oro Viejo,2023,A - Excelente,En Stock (24h),True,True,True,False,Owned,2650,1739,2523,784,31.1,El nudo viral.
HP-27696,Prada,Galleria Saffiano Small,Saffiano,Azul Marino,Oro (GHW),2018,AB - Muy bueno,En Stock (24h),True,False,True,True,Consignment,3600,2440,3034,594,19.6,El maletín ejecutivo.
HP-80541,Gucci,Marmont Matelassé Small,Leather,Verde,Rutenio,2019,A - Excelente,En Sourcing,True,False,True,False,Owned,2550,1832,2534,702,27.7,El superventas de la década.
HP-11550,Loewe,Flamenco Clutch,Nappa Calf,Etoupe,Paladio (PHW),2023,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,2450,1304,2278,974,42.7,Suavidad y nudos característicos.
HP-94584,Loewe,Hammock Compact,Soft Grain,Negro,Oro Viejo,2020,N - Nuevo,Bajo Pedido (15 días),True,True,True,True,Owned,2950,2918,4195,1277,30.4,Versatilidad total.
HP-51246,Hermès,Evelyne III PM,Clemence,Negro,Champagne,2024,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,True,Owned,3800,2125,3408,1283,37.6,Casual y funcional con la H perforada.
HP-15726,Louis Vuitton,Capucines BB,Taurillon,Gris Asfalto,Oro Viejo,2021,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Owned,6100,3963,6280,2317,36.9,La apuesta de LV por el ultra-lujo.
HP-96190,Prada,Cleo Brushed,Spazzolato,Rouge H,Rutenio,2021,A - Excelente,En Sourcing,True,False,True,False,Owned,2900,2028,2885,857,29.7,Futurismo retro.
HP-74266,Loewe,Puzzle Small,Classic Calf,Rouge H,Champagne,2018,A - Excelente,Reservado,True,False,True,False,Owned,3100,2379,3204,825,25.7,Obra maestra geométrica.
HP-29966,Chanel,Classic Flap Jumbo,Caviar,Craie,Rutenio,2019,A - Excelente,En Stock (24h),True,True,True,True,Owned,11000,9411,12898,3487,27.0,Para quien necesita más espacio.
HP-61179,Hermès,Evelyne III PM,Clemence,Rouge H,Champagne,2024,AB - Muy bueno,En Stock (24h),False,True,True,False,Consignment,3800,2664,3320,656,19.7,Casual y funcional con la H perforada.
HP-41124,Chanel,Boy Bag Old Medium,Calfskin,Beige Trench,Oro (GHW),2023,B - Buen estado,Bajo Pedido (15 días),False,True,True,False,Consignment,6700,3884,4824,940,19.5,Estilo rock-chic con bordes gráficos.
HP-56645,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Etoupe,Paladio (PHW),2021,A - Excelente,Bajo Pedido (15 días),True,True,True,True,Owned,1800,1371,2083,712,34.2,Icono urbano indestructible.
HP-54043,Louis Vuitton,Capucines BB,Taurillon,Gris Asfalto,Oro (GHW),2021,N - Nuevo,En Sourcing,True,False,True,False,Owned,6100,4842,7108,2266,31.9,La apuesta de LV por el ultra-lujo.
HP-97535,Celine,Triomphe Classique,Shiny Calf,Verde,Oro (GHW),2022,A - Excelente,Reservado,False,False,True,False,Consignment,3950,3035,3832,797,20.8,El nuevo clásico parisino.
HP-91791,Dior,30 Montaigne,Box Calf,Craie,Oro Viejo,2020,N - Nuevo,En Stock (24h),True,True,True,False,Consignment,3900,4153,5023,870,17.3,Elegancia minimalista con cierre CD.
HP-98708,Hermès,Kelly 28 Sellier,Box Calf,Craie,Oro (GHW),2020,A - Excelente,En Stock (24h),False,False,True,False,Owned,12500,8077,13041,4964,38.1,Elegancia estructurada con costuras visibles.
HP-88721,Bottega Veneta,Cassette Padded,Lambskin,Beige Trench,Paladio (PHW),2019,B - Buen estado,Reservado,True,True,True,True,Consignment,4500,3163,3763,600,15.9,El Intrecciato maxi.
HP-29905,Chanel,Classic Flap Medium,Caviar,Gris Asfalto,Oro Viejo,2021,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,10300,6930,10137,3207,31.6,El rey de la reventa. Piel resistente.
HP-48309,Louis Vuitton,Alma BB,Epi Leather,Negro,Rutenio,2025,A - Excelente,En Stock (24h),True,True,True,False,Owned,1980,1210,2039,829,40.6,Estructura Art Deco atemporal.
HP-88755,Bottega Veneta,Jodie Teen,Suede Intrecciato,Verde,Paladio (PHW),2018,AB - Muy bueno,En Stock (24h),True,True,True,False,Owned,3500,1739,2912,1173,40.3,Tamaño perfecto para diario.
HP-28091,Gucci,Marmont Matelassé Small,Leather,Craie,Champagne,2021,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,True,Owned,2550,1369,2256,887,39.3,El superventas de la década.
HP-72646,Hermès,Kelly 28 Sellier,Box Calf,Gris Asfalto,Oro (GHW),2025,N - Nuevo,En Stock (24h),False,True,True,True,Owned,12500,9359,14541,5182,35.6,Elegancia estructurada con costuras visibles.
HP-73786,Fendi,Fendi First Small,Nappa,Gris Asfalto,Oro Viejo,2022,N - Nuevo,En Stock (24h),False,False,True,True,Owned,3400,2217,3884,1667,42.9,La F arquitectónica.
HP-63000,Louis Vuitton,Alma BB,Epi Leather,Beige Trench,Paladio (PHW),2019,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,1980,1335,1815,480,26.4,Estructura Art Deco atemporal.
HP-23596,Louis Vuitton,Multi Pochette Accessoires,Monogram,Beige Trench,Oro Viejo,2025,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,2600,1585,2552,967,37.9,El favorito del Street Style.
HP-96612,Loewe,Puzzle Small,Classic Calf,Rouge H,Champagne,2025,AB - Muy bueno,En Stock (24h),True,True,True,False,Owned,3100,1481,2528,1047,41.4,Obra maestra geométrica.
HP-12776,Louis Vuitton,Capucines BB,Taurillon,Gold,Oro Viejo,2021,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Owned,6100,4460,6126,1666,27.2,La apuesta de LV por el ultra-lujo.
HP-78770,Celine,Ava Bag,Triomphe Canvas,Beige Trench,Rutenio,2020,N - Nuevo,En Stock (24h),True,False,True,False,Consignment,1700,1645,2071,426,20.5,La silueta de media luna.
HP-88671,Bottega Veneta,Jodie Mini,Intrecciato,Gris Asfalto,Rutenio,2020,AB - Muy bueno,En Stock (24h),False,False,True,True,Consignment,2650,2036,2435,399,16.4,El nudo viral.
HP-52179,Prada,Re-Edition 2005,Re-Nylon,Azul Marino,Rutenio,2025,N - Nuevo,Reservado,True,False,True,False,Owned,1980,1682,2407,725,30.1,El icono del Y2K.
HP-63854,Louis Vuitton,Neverfull MM,Monogram,Azul Marino,Champagne,2019,N - Nuevo,En Sourcing,True,True,True,False,Consignment,1950,1828,2322,494,21.2,El tote más vendido de la historia.
HP-84743,Fendi,Fendi First Small,Nappa,Verde,Oro (GHW),2025,N - Nuevo,Reservado,False,True,True,True,Owned,3400,2582,4015,1433,35.7,La F arquitectónica.
HP-65152,Louis Vuitton,Pochette Métis,Monogram Reverse,Craie,Oro Viejo,2021,N - Nuevo,Bajo Pedido (15 días),True,True,True,False,Consignment,2700,2715,3262,547,16.8,El satchel perfecto para diario.
HP-73940,Dior,Book Tote Medium,Toile de Jouy,Etoupe,Oro Viejo,2020,A - Excelente,En Sourcing,True,False,True,False,Owned,3300,2248,3373,1125,33.3,El bolso de viaje de la élite.
HP-72838,Dior,Saddle Bag,Oblique Jacquard,Verde,Oro (GHW),2019,N - Nuevo,En Stock (24h),True,False,True,False,Consignment,4200,4325,5424,1099,20.3,El retorno del icono de los 2000.
HP-62866,Louis Vuitton,Capucines BB,Taurillon,Verde,Oro Viejo,2024,A - Excelente,En Stock (24h),False,False,True,False,Owned,6100,3923,5598,1675,29.9,La apuesta de LV por el ultra-lujo.
HP-47409,Hermès,Kelly 28 Sellier,Box Calf,Craie,Oro Viejo,2020,A - Excelente,Bajo Pedido (15 días),False,True,True,True,Consignment,12500,10772,12887,2115,16.4,Elegancia estructurada con costuras visibles.
HP-17824,Chanel,Wallet on Chain (WOC),Caviar,Etoupe,Champagne,2023,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,True,Owned,3500,1934,3209,1275,39.7,El esencial de entrada a la marca.
HP-38673,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Negro,Rutenio,2020,A - Excelente,En Stock (24h),True,False,True,False,Consignment,1800,1464,1807,343,19.0,Icono urbano indestructible.
HP-95899,Chanel,Classic Flap Small,Lambskin,Craie,Oro Viejo,2018,AB - Muy bueno,En Stock (24h),False,False,True,True,Consignment,9600,7189,8497,1308,15.4,"Suavidad extrema, cuidado delicado."
HP-73069,Chanel,2.55 Reissue 226,Aged Calfskin,Etoupe,Oro Viejo,2025,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,10300,6310,8473,2163,25.5,El original de Coco Chanel.
HP-67027,Hermès,Constance 18,Evercolor,Gold,Oro Viejo,2021,B - Buen estado,En Stock (24h),True,False,True,False,Consignment,8900,4747,5966,1219,20.4,La H icónica. Perfecto para crossbody.
HP-35251,Hermès,Constance 18,Evercolor,Gris Asfalto,Rutenio,2023,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,True,Owned,8900,5801,9338,3537,37.9,La H icónica. Perfecto para crossbody.
HP-63337,Dior,30 Montaigne,Box Calf,Craie,Oro Viejo,2021,N - Nuevo,En Stock (24h),True,False,True,False,Consignment,3900,4150,4991,841,16.8,Elegancia minimalista con cierre CD.
HP-18754,Fendi,Fendi First Small,Nappa,Gold,Paladio (PHW),2020,B - Buen estado,En Stock (24h),True,False,True,False,Owned,3400,1421,2543,1122,44.1,La F arquitectónica.
HP-26966,Bottega Veneta,The Pouch,Butter Calf,Rouge H,Rutenio,2019,N - Nuevo,En Sourcing,False,True,True,True,Consignment,3200,3044,3740,696,18.6,El clutch que inició la era.
HP-30165,Hermès,Kelly 28 Sellier,Box Calf,Rouge H,Oro Viejo,2024,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,12500,7418,10694,3276,30.6,Elegancia estructurada con costuras visibles.
HP-82616,Louis Vuitton,Capucines BB,Taurillon,Verde,Champagne,2022,A - Excelente,En Stock (24h),True,False,True,False,Owned,6100,3702,5612,1910,34.0,La apuesta de LV por el ultra-lujo.
